2017-03-02 17:16:41.107 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-03-02 17:16:41.130 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-03-02 17:16:41.161 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-03-02 17:16:41.187 INFO  NServiceBus.QueuePermissions Queue [private$\EncoreMessageSenderMVC.Timeouts] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-03-02 17:16:41.208 INFO  NServiceBus.QueuePermissions Queue [private$\EncoreMessageSenderMVC.TimeoutsDispatcher] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-03-02 17:16:41.228 INFO  NServiceBus.QueuePermissions Queue [private$\EncoreMessageSenderMVC.Retries] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-03-02 17:16:41.246 INFO  NServiceBus.QueuePermissions Queue [private$\EncoreMessageSenderMVC] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-03-02 17:19:10.259 INFO  DefaultFactory Logging to 'C:\Users\dwoodford\Documents\Visual Studio 2015\Projects\EncoreMessageReceiverService\MVCMessagingTest\App_Data\' with level Info
2017-03-02 17:19:10.434 INFO  NServiceBus.LicenseManager Trial for the Particular Service Platform has been active since 2/23/2017.
2017-03-02 17:19:10.498 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'MOTIVACTION\dwoodford' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
